customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
8168-UQWWF,Female,0,No,No,11,Yes,Yes,"Fiber optic",No,No,Yes,No,Yes,Yes,Month-to-month,Yes,"Bank transfer (automatic)",97.85,1105.40,Yes
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,"One year",No,"Mailed check",49.55,475.70,No
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,"Two year",Yes,"Credit card (automatic)",69.20,4872.35,No
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",No,"Mailed check",20.75,418.25,No
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,"Two year",Yes,"Credit card (automatic)",79.85,4861.45,No
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,"Electronic check",76.20,981.45,No
3714-NTNFO,Female,0,No,No,49,Yes,Yes,"Fiber optic",No,No,No,No,No,Yes,Month-to-month,Yes,"Electronic check",84.50,3906.70,No
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,"Mailed check",49.25,97.00,No
7760-OYPDY,Female,0,No,No,2,Yes,No,"Fiber optic",No,No,No,No,Yes,No,Month-to-month,Yes,"Electronic check",80.65,144.15,Yes
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,"Two year",Yes,"Credit card (automatic)",79.75,4217.80,No
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,"Two year",Yes,"Credit card (automatic)",64.15,4254.10,No
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,"Fiber optic",No,Yes,No,No,Yes,No,Month-to-month,Yes,"Electronic check",90.25,3838.75,No
9420-LOJKX,Female,0,No,No,15,Yes,No,"Fiber optic",Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,"Credit card (automatic)",99.10,1426.40,Yes
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,"Credit card (automatic)",69.50,1752.65,No
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,"Fiber optic",No,Yes,No,No,No,No,Month-to-month,Yes,"Credit card (automatic)",80.65,633.30,Yes
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,"One year",Yes,"Credit card (automatic)",74.85,4456.35,No
1658-BYGOY,Male,1,No,No,18,Yes,Yes,"Fiber optic",No,No,No,No,Yes,Yes,Month-to-month,Yes,"Electronic check",95.45,1752.55,Yes
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,"Fiber optic",Yes,No,No,No,Yes,Yes,"One year",Yes,"Credit card (automatic)",99.65,6311.20,No
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,"Fiber optic",No,Yes,Yes,Yes,Yes,Yes,"One year",Yes,"Electronic check",108.45,7076.35,No
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Credit card (automatic)",24.95,894.30,No
5954-BDFSG,Female,0,No,No,72,Yes,Yes,"Fiber optic",No,No,Yes,Yes,Yes,Yes,"Two year",Yes,"Credit card (automatic)",107.50,7853.70,No
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,"Fiber optic",No,No,Yes,No,Yes,Yes,Month-to-month,Yes,"Electronic check",100.50,4707.10,No
1215-FIGMP,Male,0,No,No,60,Yes,Yes,"Fiber optic",No,Yes,No,No,Yes,No,Month-to-month,Yes,"Bank transfer (automatic)",89.90,5450.70,No
0526-SXDJP,Male,0,Yes,No,72,No,"No phone service",DSL,Yes,Yes,Yes,No,No,No,"Two year",No,"Bank transfer (automatic)",42.10,2962.00,No
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,"One year",Yes,"Credit card (automatic)",54.40,957.10,No
5698-BQJOH,Female,0,No,No,9,Yes,Yes,"Fiber optic",No,No,No,No,Yes,Yes,Month-to-month,No,"Electronic check",94.40,857.25,Yes
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,"Electronic check",75.30,244.10,No
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,"Fiber optic",No,Yes,No,No,No,No,"One year",Yes,"Electronic check",78.90,3650.35,No
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,"Two year",No,"Mailed check",79.20,2497.20,No
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Bank transfer (automatic)",20.15,930.90,No
7410-OIEDU,Male,0,No,No,10,Yes,No,"Fiber optic",Yes,No,Yes,No,No,No,Month-to-month,Yes,"Mailed check",79.85,887.35,No
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,"Mailed check",49.05,49.05,No
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",Yes,"Electronic check",20.40,1090.65,No
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,"Fiber optic",Yes,No,Yes,Yes,Yes,Yes,"Two year",Yes,"Bank transfer (automatic)",111.60,7099.00,No
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",Yes,"Bank transfer (automatic)",24.25,1424.60,No
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,"Bank transfer (automatic)",64.50,177.40,No
2673-CXQEU,Female,1,No,No,56,Yes,Yes,"Fiber optic",Yes,Yes,Yes,No,Yes,Yes,"One year",No,"Electronic check",110.50,6139.50,No
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,"One year",No,"Credit card (automatic)",55.65,2688.85,No
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,"Mailed check",54.65,482.25,No
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,"Electronic check",74.75,2111.30,No
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",Yes,"Credit card (automatic)",25.90,1216.60,No
5919-TMRGD,Female,0,No,Yes,1,Yes,No,"Fiber optic",No,No,No,No,Yes,No,Month-to-month,Yes,"Electronic check",79.35,79.35,Yes
8108-UXRQN,Female,0,Yes,Yes,11,No,"No phone service",DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,"Electronic check",50.55,565.35,No
9191-MYQKX,Female,0,Yes,No,7,Yes,No,"Fiber optic",No,No,Yes,No,No,No,Month-to-month,Yes,"Bank transfer (automatic)",75.15,496.90,Yes
9919-YLNNG,Female,0,No,No,42,Yes,No,"Fiber optic",No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,"Bank transfer (automatic)",103.80,4327.50,No
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",Yes,"Bank transfer (automatic)",20.15,973.35,No
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,"Fiber optic",No,Yes,No,No,Yes,Yes,Month-to-month,Yes,"Credit card (automatic)",99.30,918.75,No
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,"One year",Yes,"Bank transfer (automatic)",62.15,2215.45,No
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Bank transfer (automatic)",20.65,1057.00,No
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",Yes,"Mailed check",19.95,927.10,No
3016-KSVCP,Male,0,Yes,No,29,No,"No phone service",DSL,No,No,No,No,Yes,No,Month-to-month,No,"Mailed check",33.75,1009.25,No
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,"Fiber optic",No,Yes,Yes,No,No,No,Month-to-month,No,"Bank transfer (automatic)",82.05,2570.20,No
2424-WVHPL,Male,1,No,No,1,Yes,No,"Fiber optic",No,No,No,Yes,No,No,Month-to-month,No,"Electronic check",74.70,74.70,No
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,"Two year",Yes,"Mailed check",84.00,5714.25,No
6067-NGCEU,Female,0,No,No,65,Yes,Yes,"Fiber optic",Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,"Credit card (automatic)",111.05,7107.00,No
9848-JQJTX,Male,0,No,No,72,Yes,Yes,"Fiber optic",No,Yes,Yes,No,Yes,Yes,"Two year",Yes,"Bank transfer (automatic)",100.90,7459.05,No
8637-XJIVR,Female,0,No,No,12,Yes,Yes,"Fiber optic",Yes,No,No,No,No,No,Month-to-month,Yes,"Electronic check",78.95,927.35,Yes
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,"One year",Yes,"Credit card (automatic)",66.85,4748.70,No
0278-YXOOG,Male,0,No,No,5,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Mailed check",21.05,113.85,Yes
3212-KXOCR,Male,0,No,No,52,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Bank transfer (automatic)",21.00,1107.20,No
4598-XLKNJ,Female,1,Yes,No,25,Yes,No,"Fiber optic",No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,"Electronic check",98.50,2514.50,Yes
6380-ARCEH,Male,0,No,No,1,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Mailed check",20.20,20.20,No
3679-XASPY,Female,0,Yes,Yes,1,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Electronic check",19.45,19.45,No
7123-WQUHX,Male,0,No,No,38,Yes,Yes,"Fiber optic",No,No,Yes,Yes,Yes,No,"One year",No,"Bank transfer (automatic)",95.00,3605.60,No
5386-THSLQ,Female,1,Yes,No,66,No,"No phone service",DSL,No,Yes,Yes,No,Yes,No,"One year",No,"Bank transfer (automatic)",45.55,3027.25,No
3192-NQECA,Male,0,Yes,No,68,Yes,Yes,"Fiber optic",No,Yes,Yes,Yes,Yes,Yes,"Two year",Yes,"Bank transfer (automatic)",110.00,7611.85,Yes
6180-YBIQI,Male,0,No,No,5,No,"No phone service",DSL,No,No,No,No,No,No,Month-to-month,No,"Mailed check",24.30,100.20,No
6728-DKUCO,Female,0,Yes,Yes,72,Yes,Yes,"Fiber optic",Yes,Yes,No,No,Yes,Yes,"One year",Yes,"Electronic check",104.15,7303.05,No
9750-BOOHV,Female,0,No,No,32,No,"No phone service",DSL,Yes,No,No,No,No,No,"One year",No,"Mailed check",30.15,927.65,No
8597-CWYHH,Male,0,No,No,43,Yes,Yes,"Fiber optic",No,No,No,No,Yes,Yes,"One year",No,"Mailed check",94.35,3921.30,No
2848-YXSMW,Male,0,Yes,Yes,72,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Credit card (automatic)",19.40,1363.25,No
0486-HECZI,Male,0,Yes,No,55,Yes,Yes,"Fiber optic",Yes,Yes,No,No,Yes,No,Month-to-month,Yes,"Electronic check",96.75,5238.90,Yes
4549-ZDQYY,Female,0,No,No,52,Yes,No,DSL,Yes,No,Yes,Yes,No,No,"One year",No,"Credit card (automatic)",57.95,3042.25,No
5712-AHQNN,Female,0,No,No,43,Yes,No,"Fiber optic",No,Yes,Yes,No,Yes,No,Month-to-month,Yes,"Electronic check",91.65,3954.10,No
4846-WHAFZ,Female,1,Yes,No,37,Yes,Yes,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",76.50,2868.15,Yes
5256-SKJGO,Female,0,Yes,Yes,64,No,"No phone service",DSL,No,Yes,No,Yes,Yes,Yes,"Two year",Yes,"Electronic check",54.60,3423.50,No
3071-VBYPO,Male,0,Yes,Yes,3,Yes,No,"Fiber optic",Yes,Yes,No,No,Yes,No,Month-to-month,No,"Electronic check",89.85,248.40,No
9560-BBZXK,Female,0,No,No,36,No,"No phone service",DSL,Yes,No,No,No,No,No,"Two year",No,"Bank transfer (automatic)",31.05,1126.35,No
5299-RULOA,Female,0,Yes,Yes,10,Yes,Yes,"Fiber optic",Yes,No,No,No,Yes,Yes,Month-to-month,Yes,"Electronic check",100.25,1064.65,Yes
8402-OOOHJ,Female,0,No,No,41,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Mailed check",20.65,835.15,No
9445-ZUEQE,Male,0,Yes,Yes,27,Yes,Yes,"Fiber optic",No,Yes,No,Yes,No,No,Month-to-month,Yes,"Credit card (automatic)",85.20,2151.60,No
1091-SOZGA,Female,0,Yes,Yes,56,Yes,Yes,"Fiber optic",No,No,Yes,No,Yes,Yes,"One year",Yes,"Credit card (automatic)",99.80,5515.45,No
2928-HLDBA,Female,0,No,No,6,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Mailed check",20.70,112.75,No
0404-SWRVG,Male,0,No,No,3,Yes,Yes,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",74.40,229.55,Yes
6497-TILVL,Female,0,Yes,Yes,7,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,"Mailed check",50.70,350.35,No
7219-TLZHO,Female,0,Yes,Yes,4,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Mailed check",20.85,62.90,No
4622-YNKIJ,Male,0,No,No,33,Yes,No,"Fiber optic",Yes,No,No,Yes,Yes,No,"Two year",Yes,"Electronic check",88.95,3027.65,No
4412-YLTKF,Female,1,No,No,27,Yes,Yes,"Fiber optic",No,No,Yes,No,No,No,Month-to-month,Yes,"Electronic check",78.05,2135.50,Yes
6734-PSBAW,Male,0,Yes,No,72,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",Yes,"Bank transfer (automatic)",23.55,1723.95,No
3930-ZGWVE,Male,0,No,No,1,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Mailed check",19.75,19.75,No
2639-UGMAZ,Male,1,No,No,71,No,"No phone service",DSL,Yes,Yes,No,No,Yes,Yes,"One year",Yes,"Electronic check",56.45,3985.35,No
2876-GZYZC,Female,0,No,No,13,Yes,Yes,"Fiber optic",No,No,No,No,No,Yes,Month-to-month,Yes,"Electronic check",85.95,1215.65,No
6207-WIOLX,Female,0,Yes,Yes,25,No,"No phone service",DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,"Credit card (automatic)",58.60,1502.65,Yes
8587-XYZSF,Male,0,No,No,67,Yes,No,DSL,No,No,No,Yes,No,No,"Two year",No,"Bank transfer (automatic)",50.55,3260.10,No
3091-FYHKI,Male,0,No,No,1,No,"No phone service",DSL,No,No,No,No,No,Yes,Month-to-month,Yes,"Electronic check",35.45,35.45,Yes
2372-HWUHI,Male,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,"Electronic check",44.35,81.25,Yes
7799-LGRDP,Female,0,No,No,43,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",Yes,"Credit card (automatic)",25.70,1188.20,No
7850-VWJUU,Female,0,No,No,23,Yes,No,"Fiber optic",Yes,No,No,No,No,No,Month-to-month,Yes,"Bank transfer (automatic)",75.00,1778.50,No
3774-VBNXY,Female,0,Yes,Yes,64,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Mailed check",20.20,1277.75,No
6217-KDYWC,Male,0,No,Yes,57,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",Yes,"Mailed check",19.60,1170.55,No
0390-DCFDQ,Female,1,Yes,No,1,Yes,No,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Mailed check",70.45,70.45,Yes
3146-MSEGF,Female,1,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,"Two year",Yes,"Credit card (automatic)",88.05,6425.65,No
4080-OGPJL,Female,0,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,"Electronic check",71.15,563.65,Yes
1095-WGNGG,Female,0,Yes,No,61,Yes,Yes,"Fiber optic",No,Yes,No,No,Yes,Yes,"Two year",Yes,"Bank transfer (automatic)",101.05,5971.25,No
2636-SJDOU,Male,0,No,No,64,Yes,Yes,"Fiber optic",Yes,Yes,No,No,No,No,"One year",Yes,"Credit card (automatic)",84.30,5289.05,No
1131-QQZEB,Male,1,Yes,No,71,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Bank transfer (automatic)",23.95,1756.20,No
5716-EZXZN,Female,0,Yes,Yes,65,Yes,Yes,"Fiber optic",Yes,Yes,No,Yes,Yes,No,"Two year",Yes,"Credit card (automatic)",99.05,6416.70,No
6837-BJYDQ,Male,0,No,No,3,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",No,"Mailed check",19.60,61.35,No
2135-RXIHG,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",45.65,45.65,Yes
6440-DKQGE,Male,0,No,Yes,30,Yes,No,DSL,No,Yes,Yes,No,Yes,No,"One year",No,"Credit card (automatic)",64.50,1929.95,No
3466-BYAVD,Male,0,Yes,Yes,15,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,"Mailed check",69.50,1071.40,No
3780-YVMFA,Female,0,Yes,Yes,8,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,"Electronic check",68.55,564.35,No
3874-EQOEP,Male,0,No,No,7,Yes,Yes,"Fiber optic",No,No,No,No,Yes,Yes,Month-to-month,No,"Mailed check",95.00,655.50,Yes
1679-JRFBR,Female,0,Yes,Yes,70,Yes,Yes,"Fiber optic",Yes,Yes,Yes,No,Yes,Yes,"One year",Yes,"Credit card (automatic)",108.15,7930.55,No
9073-ZZIAY,Male,0,Yes,Yes,62,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,"Two year",No,"Electronic check",86.10,5215.25,No
3077-RSNTJ,Female,0,Yes,Yes,6,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Mailed check",19.70,113.50,No
6551-GNYDG,Female,0,Yes,Yes,14,Yes,No,"Fiber optic",No,No,No,No,No,Yes,Month-to-month,Yes,"Bank transfer (automatic)",80.90,1152.80,No
9167-APMXZ,Female,0,No,No,22,Yes,Yes,"Fiber optic",No,No,No,No,Yes,No,Month-to-month,Yes,"Bank transfer (automatic)",84.15,1821.95,No
2749-CTKAJ,Male,0,Yes,Yes,22,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",No,"Mailed check",20.15,419.90,No
6371-NZYEG,Male,0,Yes,Yes,16,Yes,No,DSL,Yes,No,Yes,No,Yes,No,"Two year",No,"Mailed check",64.25,1024.00,No
7554-NEWDD,Male,0,No,No,10,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Bank transfer (automatic)",25.70,251.60,No
8992-VONJD,Female,0,No,Yes,13,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,"Electronic check",56.00,764.55,No
0867-MKZVY,Female,0,Yes,No,20,Yes,Yes,"Fiber optic",Yes,No,No,No,No,No,Month-to-month,No,"Electronic check",82.40,1592.35,Yes
4482-EWFMI,Female,0,No,No,2,Yes,No,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",69.70,135.20,No
4648-YPBTM,Male,0,No,No,53,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,"Two year",Yes,"Bank transfer (automatic)",73.90,3958.25,No
